Capillary Pressure,NW Saturation,W Saturation
-0.2881470919,0.1189546742,0.8810453258
-0.2882919312,0.1180364887,0.8819635113
-0.2872219682,0.1169688051,0.8830311949
-0.2870826125,0.1160149186,0.8839850814
-0.2859932184,0.1149762421,0.8850237579
-0.2858185172,0.1140904106,0.8859095894
-0.2862454653,0.113286022,0.886713978
-0.2878680229,0.1126121653,0.8873878347
-0.2859254479,0.1115411348,0.8884588652
-0.2871909142,0.1108572372,0.8891427628
-0.2904135585,0.1104120901,0.8895879099
-0.2916885614,0.1097650092,0.8902349908
-0.2931687832,0.1091491667,0.8908508333
-0.2958927751,0.1086861691,0.8913138309
-0.2970252037,0.1080268159,0.8919731841
-0.297434926,0.1072893668,0.8927106332
-0.2974122763,0.1065273732,0.8934726268
-0.2990303636,0.1059338438,0.8940661562
-0.3007989526,0.1053615118,0.8946384882
-0.3031547666,0.1048628133,0.8951371867
-0.3056376576,0.1043875435,0.8956124565
-0.3080803752,0.1039401651,0.8960598349
-0.3081676364,0.1032161038,0.8967838962
-0.3084388971,0.102523281,0.897476719
-0.3087648749,0.1018126076,0.8981873924
-0.3072870374,0.1009111569,0.8990888431
-0.3077265024,0.100225028,0.899774972
-0.3084769249,0.09955228693,0.9004477131
-0.3107843399,0.0990625136,0.9009374864
-0.3126404285,0.09853146096,0.901468539
-0.3128281236,0.09784867901,0.902151321
-0.3153862953,0.09743588599,0.902564114
-0.3159504533,0.0968289687,0.9031710313
-0.3176833987,0.09636373982,0.9036362602
-0.3190646172,0.0958349185,0.9041650815
-0.3198430538,0.09521907595,0.9047809241
-0.3207909465,0.09464339704,0.905356603
-0.3187209964,0.09369285745,0.9063071425
-0.3188120723,0.09297995276,0.9070200472
-0.3168911934,0.09204391671,0.9079560833
-0.3161302805,0.09125849433,0.9087415057
-0.3161805868,0.09052216085,0.9094778392
-0.3134503365,0.08936857173,0.9106314283
-0.3144554496,0.08837563718,0.9116243628
-0.3163645267,0.08783677495,0.9121632251
-0.3189476132,0.0874507577,0.9125492423
-0.3198700547,0.0869085485,0.9130914515
-0.3215751052,0.08647678932,0.9135232107
-0.3238693476,0.08609300338,0.9139069966
-0.3264487386,0.08577169423,0.9142283058
-0.3288905025,0.08545707901,0.914542921
-0.3303510547,0.08506213651,0.9149378635
-0.3311843276,0.08462145207,0.9153785479
-0.3333725333,0.08432134039,0.9156786596
-0.3353980184,0.08400337821,0.9159966218
-0.3373633027,0.08369210996,0.91630789
-0.3386025429,0.08330943968,0.9166905603
-0.3387592435,0.08282412898,0.917175871
-0.3373432755,0.08218485764,0.9178151424
-0.3339225054,0.08133695847,0.9186630415
-0.332090497,0.08065640783,0.9193435922
-0.3324339986,0.08018560066,0.9198143993
-0.3328151107,0.07968690208,0.9203130979
-0.3340038061,0.07927299341,0.9207270066
-0.3362640738,0.07895726254,0.9210427375
-0.3375472426,0.07854781649,0.9214521835
-0.3383588195,0.07811159469,0.9218884053
-0.3387288451,0.07762405267,0.9223759473
