X,T,k,A,rho_l,rho_g,objective,err_l,err_g,err_int_thickness
0.65,0.37142857141,0.20689113259200442,0.40687834380161436,7.80359137,0.31316375,0.7833578080545778,0.0018880630758359423,0.39488862831858795,0.3865811166601539
0.65,0.37142857141,0.24961350778834712,0.28954641879090437,7.80359137,0.31316375,0.6833282025740617,0.001285324989549445,0.24018277683083936,0.44186010075367294
0.65,0.37142857141,0.16110413744136998,0.3795259052298614,7.80359137,0.31316375,0.6202428552740475,0.0008421316258191161,0.2981968763556167,0.32120384729261175
0.65,0.37142857141,0.16286060453082435,0.4529038852522388,7.80359137,0.31316375,0.7447419663523304,0.0015739842271424512,0.4058957324752089,0.33727224964997904
0.65,0.37142857141,0.21481567478081456,0.2924806381963081,7.80359137,0.31316375,0.6068092636918943,0.0009766233662810565,0.20518659404412326,0.40064604628149
0.65,0.37142857141,0.2243268303048705,0.3073757273401416,7.80359137,0.31316375,0.6544909654018966,0.0012134657043230744,0.2415849423690292,0.41169255732854426
0.65,0.37142857141,0.19613420109868693,0.26552323842264725,7.80359137,0.31316375,0.5509152894247185,0.0006525844295842505,0.1597250831567734,0.3905376218383608
0.65,0.37142857141,0.19302942825981764,0.26514223981043794,7.80359137,0.31316375,0.522507029583146,0.0003130248649558985,0.16057091234799312,0.36162309237019696
0.65,0.37142857141,0.1970782040696227,0.25245747924755124,7.80359137,0.31316375,0.5048173288827366,0.0005876299906423866,0.1456547031409972,0.35857499575109697
0.65,0.37142857141,0.20274198991559236,0.24941067679397844,7.80359137,0.31316375,0.5200461034963346,0.0002989096482150042,0.14089244117126076,0.3788547526768589
0.65,0.37142857141,0.23971486902615738,0.23600695006187108,7.80359137,0.31316375,0.5542659587993671,0.0006503235507123325,0.13435125423848762,0.41926438101016716
0.65,0.37142857141,0.2019636218435922,0.24406721646391094,7.80359137,0.31316375,0.49999433106329505,0.0001965590506349269,0.13517119846795986,0.36462657354470024
0.65,0.37142857141,0.2304460218992749,0.24366632936365606,7.80359137,0.31316375,0.5533726694832253,0.0005305580753350479,0.14001349445545233,0.41282861695243794
0.65,0.37142857141,0.2051595732583865,0.2288435494832134,7.80359137,0.31316375,0.5198387405623934,5.2473851175928484e-05,0.11997491778146803,0.3998113489297495
0.65,0.37142857141,0.2665946227751621,0.22221818233772964,7.80359137,0.31316375,0.606577141095807,0.0007326928674514036,0.1363486787315694,0.4694957694967862
0.65,0.37142857141,0.20247717727139963,0.24291787947604063,7.80359137,0.31316375,0.49927565817500974,0.0001612404563655032,0.133896268936595,0.3652181487820492
0.65,0.37142857141,0.20940903343447623,0.18482042424314632,7.80359137,0.31316375,0.5078940944248994,0.0003931944076574277,0.08674452714631382,0.42075637287092815
0.65,0.37142857141,0.21642123518076573,0.1840840632118028,7.80359137,0.31316375,0.46910426180816545,0.0003476102012128082,0.07536504116867096,0.3933916104382817
0.65,0.37142857141,0.22632151864812192,0.18788388641013176,7.80359137,0.31316375,0.5021073488069907,4.550790005704561e-05,0.06987780993940348,0.4321840309675302
0.65,0.37142857141,0.22757332626169802,0.17821525568584495,7.80359137,0.31316375,0.4578808386318113,0.0001390594014869551,0.059743657084656815,0.39799812214566754
0.65,0.37142857141,0.2492019086416056,0.17797376107060087,7.80359137,0.31316375,0.4888299955144838,0.0004314460339769074,0.054945422631315397,0.4334531268491915
0.65,0.37142857141,0.25800419152488824,0.12503936259699083,7.80359137,0.31316375,0.45624873186320175,0.00035081805570676426,0.0017771402101506122,0.4541207735973444
0.65,0.37142857141,0.26089784709341424,0.12474356803043485,7.80359137,0.31316375,0.45919382568808925,0.00024336535376706973,0.000857986961864933,0.45809247337245723
0.65,0.37142857141,0.25737393835907474,0.008237163233070346,7.80359137,0.31316375,0.7848537602657983,0.0002674710616176744,0.3262773967519258,0.4583088924522549
0.65,0.37142857141,0.24725123644370492,0.09177614451187155,7.80359137,0.31316375,0.45676068201618125,0.0008696592043947861,0.021567716110921748,0.4343233067008647
0.65,0.37142857141,0.23617661492471873,0.08572046043631382,7.80359137,0.31316375,0.4833807381361954,0.0001279076199025123,0.06876285327825021,0.4144899772380427
0.65,0.37142857141,0.2554119441811546,0.09924835938135874,7.80359137,0.31316375,0.4559842904815299,0.0005292441720851677,0.0014814148457173648,0.4539736314637274
0.65,0.37142857141,0.25638375365258625,0.0941806207316288,7.80359137,0.31316375,0.45445374712184794,0.0005904712161300857,0.000984080985083445,0.4528791949206344
0.65,0.37142857141,0.24696016457374206,0.09563895432358302,7.80359137,0.31316375,0.4694833354075817,0.0007515435595456581,0.020306966209337713,0.44842482563869834
0.65,0.37142857141,0.25546409141013804,0.05622811845890313,7.80359137,0.31316375,0.5151827727440771,0.0007796517833586942,0.06050421816659066,0.4538989027941277
