temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784767,0.8369899,0.3107189,0.2870932,0.023625702,29.90608872921115,0.7065523303096279,4.368696973749369,0.0016218722
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.988756360905917,1.7874691701475332e-06,5.396388205598228,0.061725054
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.837917,0.81819355,0.37471682,0.2826816,0.092035204,29.94667186076897,2.756148058981784,4.353250275935345,0.0034225157
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7584467,0.8345537,0.28071305,0.2865265,-0.0058134496,29.90258919484398,0.17383719582768173,4.376430527887305,0.0017495628
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7942867,0.8381647,0.32184225,0.28736594,0.03447631,29.885337059068494,1.0303361453429873,4.356330014503904,0.0016127934
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.781247,0.8373375,0.3066432,0.28717393,0.019469261,29.90168196315331,0.5821636555459736,4.368691321064659,0.001614947
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7860217,0.8364819,0.3121772,0.28697518,0.025202036,29.89998112974219,0.753540397958612,4.365905307855684,0.0016183286
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784348,0.8367688,0.31023335,0.28704184,0.023191512,29.90105290529275,0.6934506162326008,4.366796633004995,0.0016196545
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7848816,0.8371328,0.31085142,0.28712642,0.023725003,29.899727087687605,0.709371114976384,4.366215724971365,0.001620852
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847366,0.8371016,0.31068417,0.28711915,0.023565024,29.900426033795252,0.7046042612078273,4.366612042631164,0.0016198346
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784787,0.8369691,0.31074306,0.2870884,0.02365467,29.901210464648692,0.7073032518860846,4.366874206606877,0.0016194928
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784768,0.83695316,0.3107206,0.2870847,0.023635894,29.90168962236376,0.7067531681332246,4.367036241807721,0.0016199963
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847686,0.8369952,0.3107216,0.28709447,0.023627132,29.90198249954677,0.7064980928816849,4.367152489854767,0.0016201354
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.78477,0.83700603,0.31072235,0.28709695,0.023625404,29.90238848074605,0.7064559977370853,4.367317549893826,0.0016202504
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784771,0.8369936,0.31072286,0.28709406,0.023628801,29.902871257481905,0.7065689974834259,4.367503270178741,0.0016203289
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847695,0.83698803,0.3107216,0.28709278,0.02362883,29.903327647599376,0.70658067262335,4.367671624433658,0.0016205761
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784769,0.836991,0.3107206,0.2870935,0.023627102,29.903767860221304,0.706539384632596,4.367839958862707,0.0016207952
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847686,0.836992,0.3107216,0.28709373,0.023627877,29.904217811749195,0.7065731872770488,4.368008669574152,0.0016209468
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784769,0.83699083,0.3107216,0.28709343,0.023628175,29.904688868438818,0.7065932296384677,4.368185765671669,0.0016210359
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847695,0.83699024,0.3107216,0.2870933,0.023628294,29.90517233341182,0.706608218007929,4.36836484169234,0.0016214048
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784768,0.8369901,0.3107206,0.28709325,0.02362734,29.90563728585627,0.7065906838030047,4.368534739485995,0.0016216456
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784767,0.8369899,0.3107189,0.2870932,0.023625702,29.90608872921115,0.7065523303096279,4.368696973749369,0.0016218722
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784766,0.83698905,0.31071788,0.28709298,0.023624897,29.90654035881708,0.7065389356983147,4.36885555982877,0.0016224307
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847657,0.8369888,0.3107176,0.28709295,0.023624659,29.906985618455874,0.7065423245304046,4.369008043098596,0.001622753
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784765,0.8369882,0.3107166,0.28709283,0.023623765,29.90742833112029,0.7065260441413251,4.369155280285739,0.0016233021
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784765,0.8369878,0.3107171,0.28709272,0.02362439,29.90787265401213,0.7065552585260086,4.369299224511895,0.0016240652
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784765,0.8369875,0.3107166,0.2870927,0.023623914,29.90833405418207,0.7065518974187203,4.3694425968233475,0.0016242716
